icd_10_cm_code,icd_10_cm_code_description,default_ccsr_category_ip,default_ccsr_category_description_ip,default_ccsr_category_op,default_ccsr_category_description_op,ccsr_category_1,ccsr_category_1_description,ccsr_category_2,ccsr_category_2_description,ccsr_category_3,ccsr_category_3_description,ccsr_category_4,ccsr_category_4_description,ccsr_category_5,ccsr_category_5_description,ccsr_category_6,ccsr_category_6_description
T493X5S,"Adverse effect of emollients, demulcents and protectants, sequela",XXX000,Unacceptable PDX,INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T493X6A,"Underdosing of emollients, demulcents and protectants, initial encounter",XXX000,Unacceptable PDX,XXX111,Unacceptable DX1,INJ029,"Underdosing of drugs and medicaments, initial encounter", , , , , , , , , , 
T493X6D,"Underdosing of emollients, demulcents and protectants, subsequent encounter",XXX000,Unacceptable PDX,XXX111,Unacceptable DX1,INJ066,"Underdosing of drugs and medicaments, subsequent encounter", , , , , , , , , , 
T493X6S,"Underdosing of emollients, demulcents and protectants, sequela",XXX000,Unacceptable PDX,XXX111,Unacceptable DX1,INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T494X1A,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014,External cause codes: poisoning by drug,EXT020,"External cause codes: intent of injury, accidental/unintentional",INJ022,"Poisoning by drugs, initial encounter", , , , , , 
T494X1D,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, accidental (unintentional), subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter", , , , , , , , , , 
T494X1S,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, accidental (unintentional), sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T494X2A,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,MBD012,Suicidal ideation/attempt/intentional self-harm,EXT014,External cause codes: poisoning by drug,EXT021,"External cause codes: intent of injury, self-harm",INJ022,"Poisoning by drugs, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm, , , , 
T494X2D,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,MBD027,Suicide attempt/intentional self-harm; subsequent encounter,INJ059,"Poisoning by drugs, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter, , , , , , , , 
T494X2S,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,MBD034,Mental and substance use disorders; sequela,INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",MBD034,Mental and substance use disorders; sequela, , , , , , , , 
T494X3A,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014,External cause codes: poisoning by drug,EXT022,"External cause codes: intent of injury, assault",INJ022,"Poisoning by drugs, initial encounter", , , , , , 
T494X3D,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, assault, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter", , , , , , , , , , 
T494X3S,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, assault, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T494X4A,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014,External cause codes: poisoning by drug,EXT023,"External cause codes: intent of injury, undetermined",INJ022,"Poisoning by drugs, initial encounter", , , , , , 
T494X4D,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, undetermined, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter", , , , , , , , , , 
T494X4S,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, undetermined, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T494X5A,"Adverse effect of keratolytics, keratoplastics, and other hair treatment drugs and preparations, initial encounter",XXX000,Unacceptable PDX,INJ028,"Adverse effects of drugs and medicaments, initial encounter",INJ028,"Adverse effects of drugs and medicaments, initial encounter", , , , , , , , , , 
T494X5D,"Adverse effect of keratolytics, keratoplastics, and other hair treatment drugs and preparations, subsequent encounter",XXX000,Unacceptable PDX,INJ065,"Adverse effects of drugs and medicaments, subsequent encounter",INJ065,"Adverse effects of drugs and medicaments, subsequent encounter", , , , , , , , , , 
T494X5S,"Adverse effect of keratolytics, keratoplastics, and other hair treatment drugs and preparations, sequela",XXX000,Unacceptable PDX,INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela",INJ075,"Poisoning/toxic effect/adverse effects/underdosing, sequela", , , , , , , , , , 
T494X6A,"Underdosing of keratolytics, keratoplastics, and other hair treatment drugs and preparations, initial encounter",XXX000,Unacceptable PDX,XXX111,Unacceptable DX1,INJ029,"Underdosing of drugs and medicaments, initial encounter", , , , , , , , , , 
